-103,-8097,2986,6643,6226,3348
-1137,-7534,3626,8001,9659,2319
-2927,-7635,3690,8561,13949,2140
-2454,-7748,4455,9088,15535,119
-485,-7977,2847,8179,14191,2184
-2487,-8500,3697,9138,12365,3115
-3686,-8825,2831,8124,14071,2291
-3097,-7849,2682,6487,13843,2933
-1327,-7548,3544,8195,13249,2312
-1701,-7877,4887,8847,13089,3095
-3380,-8731,2827,6524,6023,2607
-1098,-9140,3305,7132,2503,2383
-2307,-8065,5363,9911,15689,2801
-2644,-7873,3185,8533,19301,2727
-4863,-8649,2217,8492,18241,2218
-3235,-7936,2473,8205,14919,2012
-1598,-7791,3734,7791,8071,3171
27,-7685,2867,7062,8629,2955
-1937,-8299,2717,8063,14314,2955
-1626,-8750,3836,8808,12241,2599
-2921,-8285,3789,7714,10931,2611
-2343,-8452,2775,8013,10452,2585
647,-7464,3859,8826,13303,2657
11,-7471,3671,8826,14240,3325
-1066,-7923,4072,8984,12155,2687
-3411,-8823,3224,7319,9375,1619
-2291,-7953,3421,7454,9210,2941
-3097,-8556,3358,8380,13275,3151
-2529,-8149,2967,7553,14229,2599
-1371,-8041,4083,8711,13729,2024
-2060,-7765,3699,8159,12013,1437
-2311,-7833,2216,7849,10579,2170
-1579,-7593,4077,8937,12389,3360
-1841,-8205,3797,7936,9112,2975
-2874,-8737,3833,8554,14194,3540
-1717,-8760,4819,8770,11894,3548
-1799,-8052,4758,8943,13480,3527
-1918,-8395,3763,8755,14690,2971
-2133,-8593,2465,6668,12583,2647
-1989,-8107,3056,7855,12415,2424
-1425,-7513,3317,7165,10719,2065
-1427,-7492,3655,8502,11778,2558
-2095,-8244,981,5799,9803,2904
-1565,-8157,1753,7159,11933,2645
-2016,-7673,3318,8015,11175,2622
-917,-8019,4195,8786,11411,2097
-1689,-8064,6005,10339,15378,2738
-2351,-7725,3222,7819,11866,2231
321,-8203,2727,6826,9803,2406
-1851,-8361,3953,8679,12914,2815
-1522,-8100,4190,8339,12435,3328
-1691,-7530,4268,8236,11412,2470
-2300,-7543,3575,9003,11754,2423
-3091,-8633,3355,8621,14802,2657
-3114,-8861,3361,8679,15863,2587
-2532,-8993,2524,7809,12371,2481
-721,-8071,1661,6995,10493,2564
-1339,-7505,4651,8215,7731,2543
-296,-7851,4982,8162,9230,2704
-2009,-7843,3781,8439,14894,2985
-3768,-7897,2757,7910,14503,2337
-3010,-8263,3796,8973,13735,2039
-2633,-8244,2680,8043,10761,2251
-1065,-7623,3401,7766,9904,2924
-861,-7905,3819,8165,7605,2464
-903,-8515,5315,10461,13646,2503
-2277,-8458,2135,6752,15521,3215
-5396,-8889,2973,7635,13032,2987
-1927,-7040,2362,6643,10726,3336
-2122,-7466,2777,7583,14607,2253
-866,-8014,2880,8005,14565,2888
274,-8091,2621,8010,10662,2920
-1549,-8586,2488,6918,9058,2908
-2862,-9270,3965,8653,10857,2743
-1673,-8752,3943,8739,10851,2683
-4027,-8205,3965,9221,12854,2316
-4093,-8119,3175,8311,16087,2351
-1853,-8095,2207,7391,13213,2430
-1832,-8017,3870,8336,12161,3052
-530,-8215,4198,9463,13639,3438
-1009,-8417,3544,8041,11601,2907
-4231,-7963,4079,7777,12225,2839
-3103,-8095,3786,6743,6001,2111
-3827,-7850,3010,8005,9643,2288
-2526,-7872,2724,8630,18085,3163
-3286,-8209,3313,9037,16594,2379
-1555,-8304,4187,8317,11954,2119
-851,-8285,3624,8389,9353,2295
1259,-8077,3895,8133,9842,2779
-469,-7672,3036,8122,11409,2615
-1437,-7810,3493,7576,15306,3599
-3987,-8086,1145,6583,16856,3632
-5335,-8743,1270,6996,13277,2923
-1733,-8061,5586,8548,9401,2372
-1562,-7880,4551,8735,10363,2938
-1311,-7605,3247,8452,12128,2450
718,-7675,2906,8011,13106,2860
-397,-8290,3239,8341,11905,2825
-3691,-8591,4775,9807,12656,2635
-3624,-9308,2896,6901,10003,2828
-3521,-8169,3579,7741,9886,2414
-2113,-8015,4768,8953,11215,1857
-2696,-8069,3796,8659,11273,2557
-931,-8199,3087,7577,12137,2952
-2723,-7867,3659,9145,15383,1744
-1503,-7594,2191,7719,14326,2871
-692,-7932,3945,8545,14103,3103
-1987,-7969,4531,9126,14047,3463
-1768,-8019,3679,7469,12781,3559
-2136,-8239,2199,6639,11225,4108
-2583,-8543,2369,7214,9674,2171
-2410,-8016,3447,7986,10617,1883
-3085,-8444,5175,8528,10729,2535
17,-7805,4134,8594,9690,149
-894,-8190,3848,8845,14152,957
-2374,-8105,3887,8358,14963,3844
-2976,-7909,2691,6941,12179,4870
-2309,-8039,1735,6351,10960,4803
-1801,-8401,3890,9031,12279,3407
-1371,-7979,2737,7499,10719,4051
-2209,-7899,3368,8649,10025,4104
-746,-7713,3896,8233,10975,3825
-2233,-7539,3785,8183,10716,89
-3796,-8866,5246,9923,14193,885
-4108,-8600,3501,8676,16346,-267
-2487,-8353,3279,7639,14731,1736
-607,-7935,1599,7432,13192,2655
-1411,-7795,1010,5846,10825,2135
-2021,-7830,4915,9469,14575,4193
-1345,-7626,3447,8624,11543,4907
3,-7730,3741,7891,10886,3317
-2621,-7863,4225,8438,11337,2933
-3001,-8122,4145,7660,10957,6147
-1107,-8546,4095,8304,12023,4488
-1498,-8751,3763,7980,11591,3852
-1373,-7923,4106,8559,11557,102
-2101,-8135,3643,8433,11785,129
-1683,-7978,3255,8370,12685,1339
-2963,-7801,3629,8331,12851,1451
-3471,-8254,3983,8129,12887,2443
-3077,-7901,2513,7185,11256,1369
-3833,-8019,2838,7869,12637,4976
-2541,-8113,3175,7972,11615,5775
1633,-7831,2647,6953,10157,2601
-1771,-7837,4282,9146,13399,4007
-1166,-8075,4145,9144,12977,1113
599,-8155,2991,7554,10623,1749
-4239,-7785,4717,9819,14599,5177
-3576,-8165,1659,6424,10631,3947
-1232,-8172,2448,7757,10706,552
-1023,-8463,3988,9223,12734,519
-2299,-7681,4519,8999,12954,785
-1933,-7677,3268,8255,13247,2473
-1074,-8281,4007,8319,12606,5143
7,-8345,2671,7513,11394,2712
-822,-8955,3584,8063,11466,1340
