-2111,-8044,5183,10743,16494,2228
-2595,-7441,3175,9111,12779,3263
-2913,-8190,4248,10639,14587,2371
1175,-8065,4471,10341,15605,3701
-1853,-7284,5507,10721,16867,2609
-3065,-7809,3319,6643,12867,1990
-1667,-7885,3839,7622,12031,2982
-4867,-9132,4160,8691,11964,3045
-2043,-8110,2822,6909,9659,2080
481,-8385,1904,6187,9734,1640
-3120,-9331,-730,5007,9117,2076
-2470,-7092,3998,7560,11220,2893
1231,-6607,9182,10219,11365,2961
-1502,-7526,2319,7379,10324,2822
-2631,-9194,1039,7643,13151,3210
-1551,-7345,3176,8566,14325,2737
-3481,-10290,8349,10922,12207,2283
-4751,-10755,3023,9216,7965,3329
-11681,-9141,-3319,10785,9947,3026
1077,-5165,3061,8151,1643,2884
5512,-3351,6340,1300,969,2266
8545,-7272,8965,5233,20099,1903
4286,-6507,8229,6891,26137,2587
-1001,-9954,3008,11305,25274,1307
-7800,-13025,-205,14719,16843,2199
-7819,-8593,-1145,10925,10145,2255
4432,-1855,2761,4717,10491,3615
11200,-5351,7267,6876,16142,3132
-2633,-9227,2750,4737,9711,2805
-9315,-11292,-3287,4727,4499,3453
-1813,-7388,1488,9285,7922,1521
-881,-9407,8979,13904,12093,2062
-5814,-8153,4733,9871,7740,2791
-3881,-9225,3769,7876,-201,3379
-7378,-4717,8481,8166,8098,2850
-1011,-5607,7806,6883,25308,2216
6129,-10085,5143,15911,32767,1300
-5443,-14195,1806,15683,29173,3080
-25,-6505,3012,7432,12000,3827
9936,443,1534,533,4151,3209
4819,-3073,4839,8455,10085,2377
-4573,-6807,1728,10365,13586,2833
